SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Wagga Wagga - North,113031268,299.5,4542.0,1002.0,1530.0,2204,730.0,404.0,351,6
Wagga Wagga - South,113031269,299.5,21709.0,7598.0,8831.0,9964,2527.0,2852.0,2673,25
Wagga Wagga - West,113031270,299.5,12545.0,4861.0,5849.0,5613,1811.0,1156.0,2361,10
Wagga Wagga Region,113031271,355.5,15069.0,4852.0,6040.0,6972,1434.0,1728.0,1033,11
Wagin,509031250,89.5,5029.0,1917.0,2486.0,2243,368.0,562.0,447,0
Wahroonga (East) - Warrawee,121031412,15.0,0,0,6204.0,8364,6536.0,0,829,3
Waikerie,407031170,37.0,6744.0,2519.0,4188.0,2677,362.0,727.0,640,0
Waitara - Wahroonga (West),121021579,261.3,0,0,3914.0,4506,3639.0,0,1411,0
Wakefield - Barunga West,405021119,93.0,9651.0,3628.0,5128.0,3762,592.0,1080.0,831,3
Walcha,110011189,24.0,3268.0,1281.0,1668.0,1467,300.0,292.0,315,4
Walgett - Lightning Ridge,105011096,56.7,6629.0,2616.0,3864.0,2163,445.0,359.0,1028,22
Walkerston - Eton,312021357,243.0,8497.0,2821.0,3263.0,4127,483.0,1191.0,564,18
Walkervale - Avenell Heights,319011502,247.0,10866.0,4191.0,4854.0,3822,671.0,1180.0,1457,31
Wallaroo,405041126,21.0,4123.0,1582.0,2834.0,1306,224.0,342.0,604,0
Wambo,307021183,104.0,17354.0,5580.0,7328.0,7608,1299.0,1823.0,2119,34
Wangaratta,204021066,142.0,18940.0,7174.0,8806.0,7862,2043.0,2298.0,2145,5
Wangaratta Region,204021067,13.0,9652.0,3461.0,4263.0,4756,1235.0,1309.0,434,0
Wanguri,701021029,1243.0,2002.0,560.0,649.0,916,368.0,230.0,156,7
Wantirna,211011259,63.0,14425.0,4801.0,5292.0,6705,3006.0,1841.0,940,3
Wantirna South,211011260,63.0,18580.0,5853.0,6610.0,8617,4300.0,2184.0,1094,0
Waratah - North Lambton,111031234,181.4,12477.0,4668.0,5311.0,5473,2034.0,1439.0,1859,5
Warilla,107031143,176.4,21039.0,7670.0,8696.0,7347,1195.0,1965.0,2786,9
Warnervale - Wadalba,102021056,324.5,15637.0,3824.0,5099.0,6700,1272.0,1800.0,1333,9
Warragul,205011079,90.0,19088.0,6340.0,8044.0,8357,2485.0,2212.0,1520,3
Warriewood - Mona Vale,122021423,88.8,25377.0,7427.0,9263.0,12146,4880.0,2964.0,1602,3
Warrnambool - North,217041479,171.0,21442.0,7233.0,9069.0,9849,2448.0,2364.0,2295,0
Warwick,307031189,69.0,15395.0,5580.0,6878.0,6031,1150.0,1591.0,2032,19
Warwick Farm,127031601,821.7,0,0,2618.0,1938,778.0,0,1421,0
Wattle Range,407021158,30.0,3361.0,1238.0,1784.0,1494,222.0,477.0,184,0
Wauchope,108041166,25.0,11345.0,3735.0,4409.0,4242,912.0,1213.0,963,3
Waverley - St Leonards,602011050,404.0,3564.0,1320.0,1475.0,1450,247.0,486.0,376,3
Weipa,315011403,20.0,4039.0,1002.0,1649.0,2152,399.0,310.0,726,289
Wellington,105031106,22.9,9060.0,3103.0,3792.0,2879,521.0,809.0,809,23
Wentworth - Buronga,109021178,26.0,6087.0,2174.0,2861.0,2377,450.0,730.0,557,15
Wentworth-Balranald Region,109021179,65.0,3684.0,1319.0,1921.0,1610,218.0,326.0,375,7
Wentworthville - Westmead,125041589,1351.4,0,0,5629.0,6882,4951.0,0,2676,3
Werribee - East,213051467,286.0,0,0,7559.0,7956,2092.0,0,2314,3
Werribee - South,213051368,286.0,11776.0,3919.0,4966.0,5172,1526.0,1159.0,1316,3
West Coast (SA),406011134,34.0,3681.0,1202.0,2572.0,1562,208.0,271.0,469,4
West Coast (Tas.),604031097,10.0,4210.0,1929.0,2948.0,1515,237.0,472.0,591,20
West End,305011112,836.0,10337.0,3299.0,4827.0,5256,3809.0,623.0,2249,8
West Gladstone,308051539,79.0,4800.0,1881.0,2565.0,1979,535.0,581.0,795,24
West Hobart,601051033,505.0,6055.0,2414.0,2868.0,3101,2151.0,741.0,880,0
West Lakes,404011096,36.0,14841.0,5944.0,6956.0,6390,2253.0,1520.0,1511,0
West Launceston,602011051,404.0,4198.0,1639.0,1937.0,2082,911.0,628.0,476,4
West Mackay,312021358,227.0,6252.0,2429.0,2867.0,2694,722.0,692.0,828,26
West Wimmera,215011393,16.0,2782.0,1212.0,1617.0,1296,221.0,278.0,226,0
West Wyalong,103021069,22.0,5997.0,2258.0,2930.0,2525,391.0,605.0,512,3
Westbury,602021057,22.0,4047.0,1554.0,1804.0,1669,417.0,546.0,316,13
Westcourt - Bungalow,306021154,652.0,6547.0,2548.0,3259.0,2521,724.0,399.0,1541,174
Western,406011135,15.0,80.0,26.0,23.0,24,4.0,0.0,15,0
White Hills - Ascot,202011025,414.0,11914.0,3129.0,4649.0,5639,1319.0,1430.0,1029,0
Whitfield - Edge Hill,306021156,652.0,8462.0,3191.0,3732.0,4055,1634.0,1037.0,1119,103
Whittlesea,209041225,14.0,8436.0,2470.0,3122.0,3703,791.0,1116.0,429,0
Whyalla,406011136,101.0,22432.0,8902.0,11152.0,8282,1518.0,3029.0,3465,25
Wilderness - East,603011068,14.0,17.0,3.0,22.0,12,3.0,0.0,8,0
Williamstown,213021346,99.0,16389.0,5559.0,6619.0,7559,4636.0,1839.0,1562,0
Wilsons Promontory,205031092,16.0,13.0,6.0,19.0,12,0.0,0.0,9,0
Wilsonton,317011459,507.0,13515.0,4980.0,6083.0,5184,899.0,1394.0,2039,25
Winchelsea,203011036,5.0,5824.0,1972.0,2463.0,2812,824.0,823.0,305,0
Windang - Primbee,107011547,233.7,0,0,2083.0,1587,331.0,0,449,0
Windsor - Bligh Park,124041467,96.5,15743.0,5344.0,5936.0,7632,1269.0,2138.0,2039,7
Windsor Gardens,402031038,50.0,20696.0,7793.0,9143.0,9410,4789.0,2399.0,2952,3
Wingham,108051171,32.0,5491.0,2066.0,2325.0,1868,354.0,636.0,475,4
Winthrop,507041184,928.6,6162.0,1929.0,2112.0,2936,1877.0,618.0,193,0
Withers - Usher,501021254,164.8,0,0,2513.0,1943,336.0,0,858,14
Wollangambe - Wollemi,103031075,153.9,0.0,0.0,0,0,0.0,0.0,0,0
Wollongong - East,107041548,490.5,0,0,7731.0,6314,3790.0,0,3357,9
Wollongong - West,107041549,490.5,0,0,7231.0,7234,3787.0,0,2912,0
Wonthaggi - Inverloch,205031093,58.0,22577.0,8109.0,14471.0,8395,2325.0,2173.0,2340,3
Woodford - D'Aguilar,313031371,25.0,8086.0,2069.0,2779.0,2935,478.0,861.0,446,22
Woodville - Cheltenham,404011097,300.0,17929.0,5757.0,7532.0,7790,2660.0,1866.0,2340,4
Woolgoolga - Arrawarra,104021091,93.8,12830.0,4330.0,5861.0,4863,1438.0,1206.0,1240,18
Woolloongabba,303021058,1044.0,5843.0,1815.0,2735.0,2939,1858.0,398.0,1327,8
Woonona - Bulli - Russell Vale,107041150,53.2,20346.0,6864.0,7886.0,9070,3486.0,2529.0,1684,0
Wooroonooran,306031162,63.0,3.0,0.0,0,0,0.0,0.0,0,0
Woy Woy - Blackwall,102011042,50.4,14216.0,5531.0,6661.0,5289,1570.0,1512.0,1890,10
Wurtulla - Birtinya,316021424,567.0,8031.0,2197.0,3266.0,3677,1043.0,705.0,1164,8
Wyndham Vale,213051369,286.0,24270.0,5714.0,8044.0,10398,3124.0,3303.0,1996,3
Wyoming,102011043,525.9,11773.0,4153.0,4668.0,4692,1270.0,1565.0,991,14
Wyong,102021057,324.5,9015.0,3108.0,3681.0,3327,627.0,951.0,1266,10
Yallourn North - Glengarry,205041098,280.0,4643.0,1615.0,1886.0,2088,366.0,744.0,187,0
Yankalilla,407011149,47.0,5858.0,2097.0,4167.0,2254,615.0,689.0,483,0
Yarrabah,306031163,10.0,2702.0,423.0,506.0,343,54.0,0.0,400,140
Yarram,205051104,302.0,5371.0,2146.0,3086.0,2144,421.0,609.0,464,7
Yarrawonga,216021414,29.0,8021.0,2697.0,3881.0,2839,612.0,766.0,781,0
Yarriambiack,215011394,38.0,6693.0,2836.0,3547.0,2599,462.0,658.0,459,5
Yass,101061541,10.0,6664.0,2289.0,2767.0,2961,854.0,871.0,571,3
Yass Region,101061542,73.7,11831.0,3565.0,4716.0,6019,2401.0,1606.0,578,4
Yea,204011062,52.0,3604.0,1368.0,2015.0,1465,410.0,423.0,245,0
Yeppoon,308031223,22.0,18539.0,6008.0,8583.0,7818,2044.0,1870.0,2175,61
York - Beverley,509021245,8.0,5353.0,1986.0,2852.0,2067,473.0,616.0,400,3
Yorke Peninsula - North,405041127,31.0,7261.0,2889.0,5652.0,2649,465.0,599.0,633,3
Yorke Peninsula - South,405041128,26.0,4030.0,1730.0,4096.0,1416,226.0,375.0,311,0
Young,101061543,53.4,10775.0,3827.0,4704.0,4189,799.0,1112.0,1206,0
Young Region,101061544,187.2,7396.0,2927.0,3940.0,3109,617.0,776.0,626,8
