SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
Kiama Hinterland - Gerringong,107031140,41.0,8051.0,2475.0,3618.0,3478,1655.0,754.0,513,5
Kilcoy,313031370,19.0,5535.0,1773.0,2402.0,2200,393.0,588.0,492,9
Kilkivan,319031515,91.0,3747.0,1341.0,1854.0,1352,209.0,446.0,283,3
Kilmore - Broadford,204011056,36.0,14098.0,4140.0,5605.0,6047,1188.0,1885.0,1067,0
Kimba - Cleve - Franklin Harbour,406011131,97.0,4360.0,1631.0,2712.0,1952,248.0,404.0,408,0
Kin Kora - Sun Valley,308051536,79.0,3687.0,1309.0,1536.0,1754,292.0,594.0,389,7
Kingaroy,319021505,49.0,10464.0,3734.0,4640.0,4233,873.0,1100.0,1566,15
Kingaroy Region - North,319021506,86.0,9739.0,3361.0,4355.0,3047,534.0,889.0,1139,80
Kingaroy Region - South,319021507,49.0,3949.0,1332.0,1700.0,1814,305.0,502.0,249,3
Kinglake,209031211,19.0,3984.0,1190.0,1594.0,1847,393.0,658.0,113,0
Kings Park (Vic.),213011333,583.0,14447.0,4263.0,4845.0,4945,1130.0,1492.0,965,0
Kings Park (WA),503021037,6.0,36.0,15.0,8.0,7,8.0,5.0,7,0
Kingsbury,209021205,86.0,11965.0,3057.0,3852.0,4879,3012.0,1108.0,1143,0
Kingston - Robe,407021151,100.0,3828.0,1466.0,3147.0,1728,294.0,361.0,425,9
Kingswood - Werrington,124031462,595.5,20044.0,6132.0,7683.0,8962,2535.0,2369.0,2855,9
Kirwan - West,318021482,34.0,15887.0,5148.0,5860.0,7747,1690.0,2149.0,1887,139
Kogarah,119041378,799.5,11860.0,3484.0,4373.0,5761,3477.0,1078.0,1797,0
Kogarah Bay - Carlton - Allawah,119041379,799.5,16807.0,5333.0,6131.0,7924,4003.0,1727.0,2072,5
Kojonup,509011231,5.6,4281.0,1558.0,2037.0,1954,358.0,339.0,431,0
